기준년월,지자체,방문자 구분,방문자수,전년도 방문자수,전년 대비 방문자수 증감률
201911,전라남도,외지인방문자(b),9724774.0,8727866.0,11.4
201911,전라남도,외국인방문자(c),197388.0,162548.0,21.4
201911,전라남도,외부방문자(b+c),9922163.0,8890414.0,11.6
201911,전라남도,전체방문자(a+b+c),3.4230184E7,3.2031133E7,6.9
201911,경상북도,현지인방문자(a),4.0126286E7,3.7695728E7,6.4
201911,경상북도,외지인방문자(b),1.3760523E7,1.2788986E7,7.6
201911,경상북도,외국인방문자(c),141589.0,125345.0,13.0
201911,경상북도,외부방문자(b+c),1.3902112E7,1.2914331E7,7.6
201911,경상북도,전체방문자(a+b+c),5.4028397E7,5.0610059E7,6.8
201911,경상남도,현지인방문자(a),4.3922907E7,4.2258573E7,3.9
201911,경상남도,외지인방문자(b),1.187934E7,1.1228704E7,5.8
201911,경상남도,외국인방문자(c),185963.0,158380.0,17.4
201911,경상남도,외부방문자(b+c),1.2065302E7,1.1387084E7,6.0
201911,경상남도,전체방문자(a+b+c),5.5988209E7,5.3645657E7,4.4
201911,제주특별자치도,현지인방문자(a),1.373226E7,1.3831632E7,-0.7
201911,제주특별자치도,외지인방문자(b),4348533.0,3816222.0,13.9
201911,제주특별자치도,외국인방문자(c),525026.0,372379.0,41.0
201911,제주특별자치도,외부방문자(b+c),4873559.0,4188600.0,16.4
201911,제주특별자치도,전체방문자(a+b+c),1.860582E7,1.8020233E7,3.2
201912,서울특별시,현지인방문자(a),1.3613529E8,1.31601886E8,3.4
201912,서울특별시,외지인방문자(b),5.3230254E7,5.0608856E7,5.2
201912,서울특별시,외국인방문자(c),2903067.0,2179938.0,33.2
201912,서울특별시,외부방문자(b+c),5.6133321E7,5.2788794E7,6.3
201912,서울특별시,전체방문자(a+b+c),1.9226861E8,1.8439068E8,4.3
201912,부산광역시,현지인방문자(a),4.2756136E7,3.9516754E7,8.2
201912,부산광역시,외지인방문자(b),1.319431E7,1.2327728E7,7.0
201912,부산광역시,외국인방문자(c),482928.0,323465.0,49.3
201912,부산광역시,외부방문자(b+c),1.3677238E7,1.2651193E7,8.1
201912,부산광역시,전체방문자(a+b+c),5.6433375E7,5.2167947E7,8.2
201912,대구광역시,현지인방문자(a),3.6103823E7,3.5291448E7,2.3
201912,대구광역시,외지인방문자(b),9170518.0,9081128.0,1.0
201912,대구광역시,외국인방문자(c),76300.0,62312.0,22.4
201912,대구광역시,외부방문자(b+c),9246818.0,9143440.0,1.1
201912,대구광역시,전체방문자(a+b+c),4.5350641E7,4.4434889E7,2.1
201912,인천광역시,현지인방문자(a),3.5265808E7,3.4974908E7,0.8
201912,인천광역시,외지인방문자(b),1.4098581E7,1.359869E7,3.7
201912,인천광역시,외국인방문자(c),941491.0,674482.0,39.6
201912,인천광역시,외부방문자(b+c),1.5040072E7,1.4273172E7,5.4
201912,인천광역시,전체방문자(a+b+c),5.030588E7,4.9248081E7,2.1
201912,광주광역시,현지인방문자(a),2.2166564E7,2.2507394E7,-1.5
201912,광주광역시,외지인방문자(b),5756152.0,5415308.0,6.3
201912,광주광역시,외국인방문자(c),35378.0,29341.0,20.6
201912,광주광역시,외부방문자(b+c),5791531.0,5444649.0,6.4
201912,광주광역시,전체방문자(a+b+c),2.7958095E7,2.7952043E7,0.0
201912,대전광역시,현지인방문자(a),2.233847E7,2.1821443E7,2.4
201912,대전광역시,외지인방문자(b),6963992.0,6860514.0,1.5
